variable,group,value
lace making,2020-03,43.333333333333336
lace making,2020-04,66.66666666666667
lace making,2020-05,56.666666666666664
lace making,2020-06,46.666666666666664
lace making,2020-07,66.66666666666667
lace making,2020-08,43.333333333333336
lace making,2020-09,76.66666666666667
lace making,2020-10,50.0
lace making,2020-11,50.0
lace making,2020-12,50.0
lace making,2021-01,63.333333333333336
lace making,2021-02,70.0
lace making,2021-03,73.33333333333333
lace making,2021-04,46.666666666666664
lace making,2021-05,26.666666666666668
lace making,2021-06,16.666666666666668
lace making,2021-07,46.666666666666664
lace making,2021-08,50.0
lace making,2021-09,50.0
lace making,2021-10,0.0
ice skating,2019-01,53.763440860215056
ice skating,2019-02,30.107526881720432
ice skating,2019-03,18.27956989247312
ice skating,2019-04,9.67741935483871
ice skating,2019-05,7.526881720430108
ice skating,2019-06,8.602150537634408
ice skating,2019-07,9.67741935483871
ice skating,2019-08,8.602150537634408
ice skating,2019-09,8.602150537634408
ice skating,2019-10,12.903225806451612
ice skating,2019-11,45.16129032258065
ice skating,2019-12,100.0
ice skating,2020-01,53.763440860215056
ice skating,2020-02,27.956989247311828
ice skating,2020-03,9.67741935483871
ice skating,2020-04,3.225806451612903
ice skating,2020-05,3.225806451612903
ice skating,2020-06,5.376344086021505
ice skating,2020-07,6.451612903225806
ice skating,2020-08,5.376344086021505
ice skating,2020-09,7.526881720430108
ice skating,2020-10,9.67741935483871
ice skating,2020-11,24.731182795698924
ice skating,2020-12,68.81720430107526
ice skating,2021-01,45.16129032258065
ice skating,2021-02,27.956989247311828
ice skating,2021-03,12.903225806451612
ice skating,2021-04,8.602150537634408
ice skating,2021-05,7.526881720430108
ice skating,2021-06,8.602150537634408
ice skating,2021-07,9.67741935483871
ice skating,2021-08,8.602150537634408
ice skating,2021-09,8.602150537634408
ice skating,2021-10,10.75268817204301
squash,2019-01,58.0
squash,2019-02,46.0
squash,2019-03,41.0
squash,2019-04,36.0
squash,2019-05,36.0
squash,2019-06,43.0
squash,2019-07,49.0
squash,2019-08,47.0
squash,2019-09,58.0
squash,2019-10,84.0
squash,2019-11,87.0
squash,2019-12,48.0
squash,2020-01,55.0
squash,2020-02,43.0
squash,2020-03,43.0
squash,2020-04,52.0
squash,2020-05,55.0
squash,2020-06,63.0
squash,2020-07,76.0
squash,2020-08,66.0
squash,2020-09,73.0
squash,2020-10,100.0
squash,2020-11,86.0
squash,2020-12,53.0
squash,2021-01,53.0
squash,2021-02,48.0
squash,2021-03,40.0
squash,2021-04,36.0
squash,2021-05,38.0
squash,2021-06,43.0
squash,2021-07,52.0
squash,2021-08,50.0
squash,2021-09,55.0
squash,2021-10,71.0
listening to music,2019-01,69.0
listening to music,2019-02,84.0
listening to music,2019-03,70.0
listening to music,2019-04,75.0
listening to music,2019-05,77.0
listening to music,2019-06,53.0
listening to music,2019-07,58.0
listening to music,2019-08,56.0
listening to music,2019-09,72.0
listening to music,2019-10,70.0
listening to music,2019-11,74.0
listening to music,2019-12,65.0
listening to music,2020-01,68.0
listening to music,2020-02,76.0
listening to music,2020-03,56.0
listening to music,2020-04,79.0
listening to music,2020-05,63.0
listening to music,2020-06,57.0
listening to music,2020-07,52.0
listening to music,2020-08,82.0
listening to music,2020-09,100.0
listening to music,2020-10,81.0
listening to music,2020-11,64.0
listening to music,2020-12,59.0
listening to music,2021-01,61.0
listening to music,2021-02,73.0
listening to music,2021-03,70.0
listening to music,2021-04,62.0
listening to music,2021-05,56.0
listening to music,2021-06,58.0
listening to music,2021-07,52.0
listening to music,2021-08,56.0
listening to music,2021-09,72.0
listening to music,2021-10,64.0
model united nations,2019-01,62.5
model united nations,2019-02,62.5
model united nations,2019-03,75.0
model united nations,2019-04,100.0
model united nations,2019-05,50.0
model united nations,2019-06,25.0
model united nations,2019-07,25.0
model united nations,2019-08,75.0
model united nations,2019-09,62.5
model united nations,2019-10,87.5
model united nations,2019-11,100.0
model united nations,2019-12,75.0
model united nations,2020-01,87.5
model united nations,2020-02,62.5
model united nations,2020-03,62.5
model united nations,2020-04,50.0
model united nations,2020-05,50.0
model united nations,2020-06,25.0
model united nations,2020-07,37.5
model united nations,2020-08,37.5
