year_month,variable,value
2020-12,cornhole,31
2021-01,cornhole,19
2021-02,cornhole,19
2021-03,cornhole,29
2021-04,cornhole,40
2021-05,cornhole,60
2021-06,cornhole,70
2021-07,cornhole,85
2021-08,cornhole,55
2021-09,cornhole,44
2021-10,cornhole,36
2020-03,cribbage,86
2020-04,cribbage,98
2020-05,cribbage,75
2020-06,cribbage,67
2020-07,cribbage,71
2020-08,cribbage,71
2020-09,cribbage,58
2020-10,cribbage,61
2020-11,cribbage,75
2020-12,cribbage,100
2021-01,cribbage,87
2021-02,cribbage,77
2021-03,cribbage,66
2021-04,cribbage,59
2021-05,cribbage,66
2021-06,cribbage,64
2021-07,cribbage,73
2021-08,cribbage,72
2021-09,cribbage,59
2021-10,cribbage,64
2020-03,cricket,26
2020-04,cricket,25
2020-05,cricket,25
2020-06,cricket,24
2020-07,cricket,25
2020-08,cricket,27
2020-09,cricket,25
2020-10,cricket,25
2020-11,cricket,26
2020-12,cricket,30
2021-01,cricket,28
2021-02,cricket,26
2021-03,cricket,29
2021-04,cricket,25
2021-05,cricket,23
2021-06,cricket,26
2021-07,cricket,27
2021-08,cricket,30
2021-09,cricket,29
2021-10,cricket,28
2020-03,crochet,60
2020-04,crochet,67
2020-05,crochet,61
2020-06,crochet,55
2020-07,crochet,57
2020-08,crochet,56
2020-09,crochet,56
2020-10,crochet,67
2020-11,crochet,68
2020-12,crochet,79
2021-01,crochet,76
2021-02,crochet,71
2021-03,crochet,60
2021-04,crochet,52
2021-05,crochet,53
2021-06,crochet,55
2021-07,crochet,58
2021-08,crochet,61
2021-09,crochet,59
2021-10,crochet,64
2020-03,croquet,41
2020-04,croquet,72
2020-05,croquet,100
2020-06,croquet,87
2020-07,croquet,89
2020-08,croquet,61
2020-09,croquet,62
2020-10,croquet,33
2020-11,croquet,40
2020-12,croquet,44
2021-01,croquet,30
2021-02,croquet,36
2021-03,croquet,44
2021-04,croquet,63
2021-05,croquet,69
2021-06,croquet,77
2021-07,croquet,67
2021-08,croquet,50
2021-09,croquet,44
2021-10,croquet,43
2020-03,cross stitching,77
2020-04,cross stitching,100
2020-05,cross stitching,83
2020-06,cross stitching,81
2020-07,cross stitching,46
2020-08,cross stitching,80
2020-09,cross stitching,49
2020-10,cross stitching,56
2020-11,cross stitching,48
2020-12,cross stitching,54
2021-01,cross stitching,74
2021-02,cross stitching,56
2021-03,cross stitching,42
2021-04,cross stitching,49
2021-05,cross stitching,42
2021-06,cross stitching,37
2021-07,cross stitching,71
2021-08,cross stitching,48
2021-09,cross stitching,31
2021-10,cross stitching,42
2020-03,curling,8
2020-04,curling,6
2020-05,curling,7
2020-06,curling,8
2020-07,curling,8
2020-08,curling,7
2020-09,curling,7
2020-10,curling,8
2020-11,curling,10
2020-12,curling,10
2021-01,curling,8
2021-02,curling,9
2021-03,curling,8
2021-04,curling,9
2021-05,curling,10
2021-06,curling,8
2021-07,curling,9
2021-08,curling,9
2021-09,curling,8
2021-10,curling,8
2020-03,cycling,43
2020-04,cycling,63
2020-05,cycling,74
2020-06,cycling,72
2020-07,cycling,72
2020-08,cycling,69
2020-09,cycling,68
2020-10,cycling,55
2020-11,cycling,49
2020-12,cycling,52
2021-01,cycling,52
2021-02,cycling,53
2021-03,cycling,55
2021-04,cycling,57
2021-05,cycling,56
2021-06,cycling,60
2021-07,cycling,71
2021-08,cycling,60
2021-09,cycling,51
2021-10,cycling,45
2020-03,dancing,40
2020-04,dancing,42
2020-05,dancing,39
2020-06,dancing,37
2020-07,dancing,39
2020-08,dancing,40
2020-09,dancing,73
2020-10,dancing,60
2020-11,dancing,58
2020-12,dancing,39
2021-01,dancing,38
2021-02,dancing,37
2021-03,dancing,37
2021-04,dancing,38
2021-05,dancing,36
2021-06,dancing,35
2021-07,dancing,36
2021-08,dancing,37
2021-09,dancing,56
2021-10,dancing,55
2020-03,darts,70
2020-04,darts,75
2020-05,darts,76
2020-06,darts,69
2020-07,darts,62
2020-08,darts,57
2020-09,darts,58
2020-10,darts,63
2020-11,darts,63
2020-12,darts,77
2021-01,darts,76
2021-02,darts,71
2021-03,darts,70
2021-04,darts,62
2021-05,darts,65
2021-06,darts,61
2021-07,darts,75
2021-08,darts,61
2021-09,darts,66
2021-10,darts,65
2020-03,debate,10
2020-04,debate,2
2020-05,debate,2
2020-06,debate,2
2020-07,debate,2
2020-08,debate,4
2020-09,debate,58
2020-10,debate,79
2020-11,debate,5
2020-12,debate,2
2021-01,debate,2
2021-02,debate,2
2021-03,debate,2
2021-04,debate,2
2021-05,debate,2
2021-06,debate,1
2021-07,debate,1
2021-08,debate,1
2021-09,debate,2
2021-10,debate,2
2020-03,disc golf,48
2020-04,disc golf,51
2020-05,disc golf,76
2020-06,disc golf,89
2020-07,disc golf,92
2020-08,disc golf,90
2020-09,disc golf,80
2020-10,disc golf,72
2020-11,disc golf,65
2020-12,disc golf,63
2021-01,disc golf,60
2021-02,disc golf,58
2021-03,disc golf,82
2021-04,disc golf,88
2021-05,disc golf,91
2021-06,disc golf,100
2021-07,disc golf,96
2021-08,disc golf,89
2021-09,disc golf,70
2021-10,disc golf,66
2020-03,documentaries,84
2020-04,documentaries,100
2020-05,documentaries,81
2020-06,documentaries,77
2020-07,documentaries,82
2020-08,documentaries,71
2020-09,documentaries,71
2020-10,documentaries,83
2020-11,documentaries,72
2020-12,documentaries,70
2021-01,documentaries,87
2021-02,documentaries,88
